nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"LA PLATAFORMA  DE LA CONSTRUCCION","CL FRANCISCO GERVAS (DE) 8 - 10","28108","POLIGONO INDUSTRIAL","914904400","914904410","laplataforma.alcobendas@laplataforma.es","www.laplataforma.com","ALBERTO","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","CONSTRUCCION",40.53156656,-3.65147435
"LA PLAZA DEL GOLF","AV EUROPA (DE) 10","28108","CASCO URBANO","916614444 / 916625516","NO DISPONIBLE","c.osa@golfpark.es","NO DISPONIBLE","ANTONIO ROMERO HUESA","","GIMNASIOS, DANZA Y OTRAS INSTALACIONES DEPORTIVAS","ARRENDAMIENTOS PISTAS DEPORTIVAS",40.51943587,-3.65732812
"LA SELVA","AV VALDELAPARRA (DE) 27 - FASE III, NAVE 7","28108","POLIGONO INDUSTRIAL","916610576","916616697","laselva@laselva.es","www.laselva.es","MERCEDES CABALLERO","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","FABRICANTES DE EMBUTIDOS COCIDOS",40.53889230,-3.64696818
"LA TRIGUEÑA","CL GUZMAN EL BUENO (DE) 11","28108","POLIGONO INDUSTRIAL","916610990","NO DISPONIBLE","pedidos@1830tym.com","NO DISPONIBLE","MANUEL DEL OLMO","","PANADERIAS, PASTELERIAS, CHURRERIAS","PANADERIA",40.52875621,-3.65647878
"LA VILLA","CL VALPORTILLO I (DE) 22","28108","POLIGONO INDUSTRIAL","914901673","NO DISPONIBLE","nataliapatane@hotmail.com","NO DISPONIBLE","IVAN PIETRI","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","HOSTELERIA",40.53297104,-3.65390467
"LABORATORIOS FARMACEUTICOS LOGOGEN","CL SAN RAFAEL (DE) 3","28108","POLIGONO INDUSTRIAL","916572323","916572372","jgarcia@itfsp.com","www.itfsp.com","JOSE GARCIA MARIN","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","LABORATORIO FARMACEUTICO",40.52559861,-3.66007610
"LABORATORIOS FARMACEUTICOS VALOMED","CL SAN RAFAEL (DE) 3","28108","POLIGONO INDUSTRIAL","916572323","916572372","jgarcia@itfsp.com","www.Iitfsp.com","JOSE GARCIA MARIN","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","LABORATORIO FARMACEUTICO",40.52559861,-3.66007610
"LABORATORIOS LAPCO","CL VALGRANDE (DE) 8","28108","POLIGONO INDUSTRIAL","913149629 - 933636066","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ANGEL ZAFIÑA VALLS - JOSE MANUEL MURIEL SANZ","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","LABORATORIOS DE ANALISIS CLINICOS Y BIOLOGICOS",40.53707501,-3.65013897
"LACADOS ESPECIALES 2005","CL VALGRANDE (DE) 20 - NAVE 10","28108","POLIGONO INDUSTRIAL","916619751 / 678381858","916619751","lacados2005@gmail.com","NO DISPONIBLE","MIGUEL A. SAN ROMAN","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","ACABADOS DE CERRAJERIA, LACADOS EN POLVO, PINTURAS AL HORNO Y HORNO DE GRAN CAPACIDAD",40.53873548,-3.65188050
"LACROIX CITY","CL FRANCISCO GERVAS (DE) 12","28108","POLIGONO INDUSTRIAL","918049970","NO DISPONIBLE","v.acedo@lacroix-city.com","www.lacroixcity.com","VIRGINIA ACEDO","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","FABRICACION DE EQUIPOS ELECTRONICOS",40.53295734,-3.65190662
"LAFARGE","CL ARROYO DE LA VEGA (DEL) 4","28108","POLIGONO INDUSTRIAL","914905500","NO DISPONIBLE","recepcion.madrid@lafargeholcim.com","www.lafarge.com.es","JORGE SANCHEZ","","MATERIAL DE CONSTRUCCION, FONTANERIA.  SANEAMIENTOS, PUERTAS, ARMARIOS Y TOLDOS","FABRICACION DE HORMIGON",40.53278414,-3.65817209
"LAFUENTE ESCENOGRAFIA","CL REYES CATOLICOS (DE LOS) 6 - NAVE 1","28108","POLIGONO INDUSTRIAL","916620889","916625811","escenografiaef@infonegocio.com","www.lafuenteescenografia.com","ENRIQUE DE FRANCISCO","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","DECORADOS, CINE, TV, MUSEOS Y STAND",40.53652585,-3.65212849
"LAMBDA ANTENAS","CL CALABOZOS (DE LOS) 13 - NAVE 3 - 4","28108","POLIGONO INDUSTRIAL","916616960","916618438","comercial@lambdaantenas.es","www.lambdaantenas.es","JOSE MARIA SOPEÑA QUESADA","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","ELECTRONICA, ANTENAS PROFESIONALES, INSTALACIONES DE TELECOMUNICACION",40.52922514,-3.65273756
"LAST LAP","CL GRANJA (DE LA) 22","28108","POLIGONO INDUSTRIAL","916611500","916615039","oscar.villa@lastlap.com","www.lastlap.com","OSCAR VILLA","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","EVENTOS, PUBLICIDAD DEPORTIVOS",40.52958606,-3.65787118
"LATONES DEL CARRION","CL ANABEL SEGURA (DE) 11 EDF. A, 3ºD, CENTRO DE NEGOCIOS ALBASTROS","28100","ARROYO DE LA VEGA","917214785 / 917211458","917211458","info@latonesdelcarrion.es","www.latonesdelcarrion.com","NO DISPONIBLE","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","FABRICACION Y DISTRIBUCION DE LINGOTES Y BARRA DE LATON",40.53329719,-3.62708410
"LAVADERO GORILA AZUL","AV VALDELAPARRA (DE) 3","28100","POLIGONO INDUSTRIAL","674254700","NO DISPONIBLE","gorilaazulalcobendas@gmail.com","www.lavaderoalcobendas.es","JUAN","","LIMPIEZAS: GENERAL Y URBANA. POCEROS. LAVADO DE VEHICULOS","LAVADERO DE COCHES",40.53737784,-3.64234265
"LAVANDA CLEAN CAR","CL VALGRANDE (DE) 23 ACCESO F","28108","POLIGONO INDUSTRIAL","912300500 / 667250285","NO DISPONIBLE","ws.ceita1984@gmail.com","www.lavandacleancar.com","WILSON SILVA","","LIMPIEZAS: GENERAL Y URBANA. POCEROS. LAVADO DE VEHICULOS","LAVADO DE COCHES A MANO",40.53737290,-3.65248481
"LAVANDERIA MANILVA","AV INDUSTRIA (DE LA) 32 -D, NAVE 5","28108","POLIGONO INDUSTRIAL","657899243 / 691600247","NO DISPONIBLE","info@lavanderiamanilva.es","www.lavanderiamanilva.es","DIEGO ABAL","","TINTORERIA Y PLANCHADO","LAVANDERIA",40.53412153,-3.65245488
"LEASEPLAN SERVICIOS","AV BRUSELAS (DE) 8","28108","ARROYO DE LA VEGA","902400520 / 670916217","914908790","mpozuelo@leaseplan.es","www.leaseplan.es","MERCEDES POZUELO","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","SERVICIOS DE TRANSPORTE",40.53069576,-3.62944399
"LECTORVISION","CL GRANJA (DE LA) 30","28108","POLIGONO INDUSTRIAL","915231227","NO DISPONIBLE","info@lectorvision.com","www.lectorvision.com","ROBERTO RUIZ FERNANDEZ","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","SISTEMA AUTOMATICO OCR, LECTURA DE MATRICULAS EN PARKING Y VIA PUBLICA",40.53131826,-3.65733509
"LEGA RAMOS INMOBILIARIA","AV INDUSTRIA (DE LA) 8 3º PLANTA, OFICINA 7","28108","POLIGONO INDUSTRIAL","916611815","916618528","arduran@enfusa.com","NO DISPONIBLE","ANTONIA RODRIGUEZ DURAN","","CENTRO DE NEGOCIOS. ESPACIOS EN ALQUILER","ALQUILER NAVES Y OFICINAS",40.53525212,-3.64306522
"LEONARDO VAZQUEZ","CL CALABOZOS (DE LOS) 14","28108","POLIGONO INDUSTRIAL","916611847 - 916611990","916611913","tomas@leonardovazquez.com","www.leonardovazquez.com","LEONARDO VAZQUEZ","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","DISTRIBUCION DE PRODUCTOS DE ALIMENTACION",40.52933987,-3.65292415
"LETS CONSULT","CL CAMINO DE HOYARRASA (DEL) 69","28109","CASCO URBANO","914901015","916574148","administracion@letsconsult.es","www.letsconsult.es","RICARDO LLODEN","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","ASESORIA FISCAL Y CONTABLE. CONSULTORIA",40.53045435,-3.61862051
"LEXINGTON","CL CALENDULA (DE LA) 93 - EDIFICIO E MINIPARC III","28109","MINI-PARC","917912900","917912901","manager.lamoraleja@lexington-ibc.com","www.lexington-ibc.com","RUT VEGA","","CENTRO DE NEGOCIOS. ESPACIOS EN ALQUILER","ALQUILER DE ESPACIOS / OFICINAS. CENTRO DE NEGOCIOS",40.52774217,-3.64515090
"LIBRA SERVICIOS AUXILIARES","CL GRANJA (DE LA) 86 - 2ª","28108","POLIGONO INDUSTRIAL","914841452","914841459","info@libraserviciosauxiliares.es","www.seguridadceres.es","JOSE Mº LUENGO ARAUJO","","SERVICIOS A LA PROPIA EMPRESA. COWORKING","SERVICIOS AUXILIARES",40.53538748,-3.65671522
"LILLY","AV INDUSTRIA (DE LA) 30","28108","POLIGONO INDUSTRIAL","916635000","916635371","carvajal_ana@lilly.com","www.lilly.es","JUAN PEDRO HERRERA PEREZ","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","FABRICACION Y COMERCIALIZACION DE PRODUCTOS FARMACEUTICOS",40.53425345,-3.65158382
"LILLY, S.A.","CL REYES CATOLICOS (DE LOS) 4","28108","POLIGONO INDUSTRIAL","916635077","NO DISPONIBLE","perez_abel@lilly.com","www.lilly.com","ABEL PEREZ","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","PRODUCTOS FAMACEUTICOS",40.53634981,-3.65109787
"LINDORF ESPAÑA","AV BRUSELAS (DE) 8 1ºPLANTA","28100","ARROYO DE LA VEGA","914847850","NO DISPONIBLE","info@spain@linforff.com","www.lindorff.es","NO DISPONIBLE","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","GESTION DE CREDITO Y RECOBRO",40.53069576,-3.62944399
"LIQUID INVESTMENTS","CR FUENCARRAL (DE) 44 - EDIF. 4A PUERTA 20,21","28108","POLIGONO INDUSTRIAL","916611400","916624972","cfuentes@hidafa.com","www.hidafa.com","JESUS GONZALEZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","ARRENDAMIENTOS DE INMUEBLES POR CUENTA PROPIA",40.51888227,-3.65470622
"LIXESA PRODUCCIONES Y SERVICIOS","CL CAMINO DEL SOTO (DEL) 59","28109","CASCO URBANO","916506858 / 913264012 / 629422042","NO DISPONIBLE","teresa@lixesa.com","www.lixesa.com","MARIA TERESA GONZALEZ TARAZAGA","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","PRODUCCION AUDIOVISUAL",40.51760591,-3.65092908
"LOAD SAFER","CL EINSTEIN (DE) 6 BIS","28108","POLIGONO INDUSTRIAL","911260260","NO DISPONIBLE","info@loadsafer.com","www.loadsafer.com","ANTONIO ARANGOCILLO","","SERVICIOS DE SEGURIDAD","SISTEMAS ELECTRONICOS DE SEGURIDAD",40.53446548,-3.65386232
"LOGICSOFTWARE","AV INDUSTRIA (DE LA) 13 - PLANTA 1 OFF 22","28108","POLIGONO INDUSTRIAL","916620686","916616233","lgs@logicsoftware.es","www.logicsoftware.es","MARIBEL MARTIN","","INFORMATICA","SOFTWARE",40.53516074,-3.64723116
"LOGISTA","CL ARAGONESES (DE LOS) 9","28108","POLIGONO INDUSTRIAL","914903750","NO DISPONIBLE","NO DISPONIBLE","www.logista.es","LUIS MIGUEL SOLERA GARCIA","","DISTRIBUCION DE DIVERSOS PRODUCTOS DE CONSUMO","DISTRIBUCION DE TABACO",40.52349728,-3.66068960
"LONDRA 2 ASESORAMIENTO Y SERVICIOS","CR FUENCARRAL (DE) - KM - 3,800","28108","POLIGONO INDUSTRIAL","914261371","914490451","info@gruposecuoya.es","www.newatlantis.net","RAFAEL REVILLA LOPEZ","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","PRODUCTORA DOCUMENTALES",40.52092502,-3.65746054
"LONJAS TECNOLOGIA","CL ARAGONESES (DE LOS) 9 - BIS","28108","POLIGONO INDUSTRIAL","914519700","914429117","info@lonjastec.es","www.lonjastec.es","DELIA TIRVI","","ESTUDIOS DE DELINEACION, ARQUITECTURA, LICENCIAS DE APERTURA, URBANISMO Y DISEÑO. INGENIERIAS, PROYECTOS","INGENIERIA",40.52349728,-3.66068960
"LORAN MOTOR","AV INDUSTRIA (DE LA) 12","28108","POLIGONO INDUSTRIAL","914840679","916614210","gerencia@loranmotor.skoda.es","www.grupofereauto.com","DANIEL FERNANDEZ DELGADO","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","REPARACION Y VENTA DE VEHICULOS. SKODA",40.53498225,-3.64414996
"LOS PEREGRINOS 2004","CL SAN BERNARDO (DE) 7 BAJO","28108","POLIGONO INDUSTRIAL","916629562","NO DISPONIBLE","losperegrinos2004@hotmail.com","NO DISPONIBLE","JORGE HEREDA","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","REPARACION DE PARAGOLPES",40.53590078,-3.64638754
"LOSUR OVERSEAS","AV INDUSTRIA (DE LA) 4 EDF. 1, 2º B","28108","POLIGONO INDUSTRIAL","916613329","NO DISPONIBLE","infolosur@losur.es","NO DISPONIBLE","BEATRIZ DE LUCAS, ANGELA PRIETO, JAVIER URETA","","DISTRIBUCION DE DIVERSOS PRODUCTOS DE CONSUMO","TRADING MATERIAS PRIMAS",40.53543008,-3.64232167
"LTM","CR FUENCARRAL (DE) 44 PORTAL 4B, OFICINA 10","28108","POLIGONO INDUSTRIAL","912919301","NO DISPONIBLE","sonia.vega@ltmedioambiente.com","www.ltmedioambiente.com","SONIA VEGA","","MEDIOAMBIENTE. RECUPERACION Y RECICLADO","MEDIOAMBIENTE",40.51888227,-3.65470622
"LUBRICANTES Y ADITIVOS BARDAHL, S.A.","AV INDUSTRIA (DE LA) 32 - 2ª PLANTA EDIFICIO PAYMA","28108","POLIGONO INDUSTRIAL","916626189","916625900","cbariego@bardahlspain.com","www.bardahl.es","CARLOS BARIEGO LOPEZ","","SECTOR QUIMICO","DISTRIBUCION DE LUBRICANTES Y ADITIVOS",40.53412153,-3.65245488
"LUCA SOLUCIONES EN TIC","CL ANABEL SEGURA (DE) 11 - EDIF. A, PLANTA 3ª","28100","ARROYO DE LA VEGA","629128794 / 910289927","NO DISPONIBLE","rosa.gonzalez@luca-tic.com","NO DISPONIBLE","ROSA GONZALEZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA EN TECNOLOGIAS DE LA INFORMACION. SERVICIOS DE FORMACION CON AULAS",40.53329719,-3.62708410
"M TEAM CROSSFIT","CL GRANJA (DE LA) 5","28108","POLIGONO INDUSTRIAL","916615009 / 699946089","NO DISPONIBLE","info@mteamcrossfit.com","www.mteamcrossfit.com","JAVIER","","GIMNASIOS, DANZA Y OTRAS INSTALACIONES DEPORTIVAS","ENTRENAMIENTO PERSONAL, BOXEO, PADEL Y HALTEROFILIA",40.52705184,-3.65938343
"MABERCAR REPARACIONES, S.L.","AV DOCTOR SEVERO OCHOA (DEL) 35 - 5 J","28100","PARQUE EMP. CASABLANCA","916610168","916610168","mabercar@mabercar.es","NO DISPONIBLE","LUIS MIGUEL ZAPATA BLASCO","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","TALLER DE REPARACION DE AUTOMOVILES, CHAPA Y PINTURA",40.54136786,-3.65322389
"MAC","CL GRANJA (DE LA) 3","28108","POLIGONO INDUSTRIAL","916612568","916617025","avelino@macsaweb.com","www.macsaweb.com","AVELINO RODRIGUEZ F. CAMPOAMOR","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","FABRICACION DE SISTEMAS ELECTRONICOS: SEGURIDAD Y JUEGO",40.52662827,-3.65965131
"MAD CREW","CL GRANJA (DE LA) 38","28108","POLIGONO INDUSTRIAL","916610625","NO DISPONIBLE","maria@iluminacionfm.com","NO DISPONIBLE","MARIA ARRANZ","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","PRODUCCION AUDIOVISUAL",40.53168386,-3.65666022
"MADHOUSE STUDIO","CL GRANJA (DE LA) 54","28108","POLIGONO INDUSTRIAL","653013277","NO DISPONIBLE","info@madhousestudio.es","NO DISPONIBLE","GERMAN PONTE","","CENTRO DE NEGOCIOS. ESPACIOS EN ALQUILER","ALQUILER DE BIENES INMUEBLES PARA AUDIOVISUALES",40.53181018,-3.65601055
"MADISA TECNOLOGIA IBERICA, S.L.","AV INDUSTRIA (DE LA) 4","28108","POLIGONO INDUSTRIAL","916590303","916546993","administracionmti@madisa.es","www.madisa.es","RAQUEL SAEZ","","INFORMATICA","DISTRIBUCION DE APARATOS DE INFORMATICA Y SW",40.53543008,-3.64232167
"MAGALY GONZALEZ VAZQUEZ","PS VALDELASFUENTES (DE) 6 - PORTAL 7  ATICO 4º B","28100","CASCO URBANO","625278456","NO DISPONIBLE","mgvazq@gmail.com","NO DISPONIBLE","MAGALY GONZALEZ VAZQUEZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA DE GESTION Y SOSTENIBILIDAD",40.54907480,-3.65317233
"MAGERET","CL VALGRANDE (DE) 25","28108","POLIGONO INDUSTRIAL","916615069","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","DEMETRIO GABRIEL MINGUITO","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","RETRACTILADO DE REVISTAS Y FASCISCULOS",40.53807251,-3.65318535
"MAGNITUDE","CL VALPORTILLO II (DE) 3","28108","POLIGONO INDUSTRIAL","646082546","NO DISPONIBLE","david@magnitude.es","www.magnitude.es","DANIEL VENEGAS ARRABE","","INFORMATICA","FORMACION, INVESTIGACION E INNOVACION  EN NUEVAS TECNOLOGIAS Y MERCHANDISING, DESARROLLO Y VENTA DE SW, HW",40.53343097,-3.65581250
"MAHESO CONGELADOS","AV VALDELAPARRA (DE) 3","28108","POLIGONO INDUSTRIAL","916620619","916614855","central_pedidos_dimalco@maheso.com","www.maheso.com","JOSE GARCIA-MOCHALES SOTOS","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","DISTRIBUCCION DE CONGELADOS",40.53737784,-3.64234265
"MAIL BOXES ETC","AV VALDELAPARRA (DE) 3 BAJOS","28100","POLIGONO INDUSTRIAL","916522754","NO DISPONIBLE","mbe225@mbe.es","www.mbealcobendas.es","MERCEDES MARTIN","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","MENSAJERIA",40.53737784,-3.64234265
"MAKRO AUTOSERVICIO MAYORISTA","CL SAN RAFAEL (DE) 2","28108","POLIGONO INDUSTRIAL","916573861","916573874","atencionclientes.19@makro.es","www.makro.es","ALFREDO RODRIGUEZ/JESUS ARENAS FERNANDEZ","","MAYORISTAS","ALMACEN DE VENTA MAYORISTA DE MERCANCIAS",40.52401140,-3.65820488
"MALLORCA CATERING","CL GRANJA (DE LA) 3","28108","POLIGONO INDUSTRIAL","914100010","NO DISPONIBLE","lauratriguero@mallorca-catering.com","www.mallorca.com","MANOLO MORENO","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","HOSTELERIA",40.52662827,-3.65965131
"MAMA FRAMBOISE","CL CALABOZOS (DE LOS) 5","28108","POLIGONO INDUSTRIAL","915634201","NO DISPONIBLE","info@mamaframboise.com","www.mamaframboise.com","CARLOS ALFONSO BARRA","","PANADERIAS, PASTELERIAS, CHURRERIAS","OBRADOR DE PASTELERIA",40.52997355,-3.65236744
"MANITAS A DOMICILIO","AV VALDELAPARRA (DE) 76","28100","CASCO URBANO","91/6625848/ 699458476","NO DISPONIBLE","bricogestion@manitasadomicilio.com","www.manitasadomicilio.com","JOSE ANTONIO CANO AREVALO","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","CONSTRUCCION",40.54203493,-3.66090545
"MANTICA","AV INDUSTRIA (DE LA) 4 EDF. 2, ESCALERA 2, 2º C","28108","POLIGONO INDUSTRIAL","914904103","NO DISPONIBLE","carlos.egea@mantica-solutions.com","www.mantica-solutions.com","CARLOS EGEA","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","CONTROL DE CALIDAD EN TELECOMUNICACIONES",40.53543008,-3.64232167
"MAPFRE AUTOMOVILES","AV INDUSTRIA (DE LA) 8 -NAVE1","28108","POLIGONO INDUSTRIAL","914902927","NO DISPONIBLE","NO DISPONIBLE","www.mapfre.com","JESUS SANZ","","SEGUROS GENERALES, MUTUAS DE ACCIDENTES","SEGUROS",40.53525212,-3.64306522
"MARFIN SPORT","CL GRANJA (DE LA) 13 NAVE 4","28108","POLIGONO INDUSTRIAL","910075369","NO DISPONIBLE","marfinsport@gmail.com","www.marfinsport.com","MARTIN","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","TALLER MECANICO",40.52867170,-3.65844918
"MARIA VICTORIA ARTES GRAFICAS","CL RAMON Y CAJAL (DE) 10","28100","CASCO URBANO","649295739","NO DISPONIBLE","victoriadserrano@hotmail.com","NO DISPONIBLE","MARIA VICTORIA DIAZ SERRANO","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ARTES GRAFICAS",40.54173749,-3.65064070
"MARKETING Y BASES DE DATOS CONSULTORES, S.L","AV BRUSELAS (DE) 13 3ª PLANTA","28100","ARROYO DE LA VEGA","915703805","915720372","lrodriguez@mbdconsultores.com","www.mbdconsultores.com","BORJA CABEZA","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORES BASES DE DATOS",40.53108558,-3.63464912
"MARVALL, S.A.","CR FUENCARRAL (DE) 53","28108","POLIGONO INDUSTRIAL","916614687","NO DISPONIBLE","info@marvall.com","www.marvall.es","IGNACIO MARTINEZ","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","MATERIALES DE CONSTRUCCION",40.51888227,-3.65470622
"MASTER CONGRESOS","CR FUENCARRAL (DE) 14 EDIFICIO ALCOVEGA BLOQUE D, 1ª PLANTA, OFICINA D 07","28108","POLIGONO INDUSTRIAL","916624650","914905673","info@mastercongresos.com","www.mastercongresos.com","SANDRA CHARGY","","AGENCIAS DE VIAJES","ORGANIZACIÓN DE EVENTOS, EXPOSICIONES, CONGRESOS, COVENCIONES, ETC",40.51888227,-3.65470622
"MATCH NETWORKS","CR FUENCARRAL (DE) 44 - BLOQUE 7. L36","28108","POLIGONO INDUSTRIAL","918664470 / 910608822","NO DISPONIBLE","info@matchnetworks.es","www.matchnetworks.es","JORGE MARTINEZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA INFORAMTICA, SOPORTE Y MANTENIMIENTO A EMPRESAS, GESTION Y CREACION DE MEDIOS AUDIOVISUALES",40.51888227,-3.65470622
"MATERFERPA","CL VALGRANDE (DE) 21","28108","POLIGONO INDUSTRIAL","652910158 / 917188168 / 917188154","NO DISPONIBLE","materferpa_paloma@yahoo.es","www.azulejosmaterferpa.es","PALOMA MALLORQUIN","","MATERIAL DE CONSTRUCCION, FONTANERIA.  SANEAMIENTOS, PUERTAS, ARMARIOS Y TOLDOS","VENTA MENOR Y MAYOR DE MATERIALES DE CONSTRUCCION, AZULEJOS Y PAVIMENTOS",40.53749572,-3.65156227
"MBS","AV INDUSTRIA (DE LA) 13 - 1ª PLANTA - TALLER 30","28108","POLIGONO INDUSTRIAL","914840500","914840502","amiras@mbs.es","www.mbs.es","ANTONIO MIRAS PADILLA","","INFORMATICA","SERVICIOS INFORMATICOS Y SEGUROS SALUD. SANITAS",40.53516074,-3.64723116
"MECANIZADOS DORAMOVE","CL VALGRANDE (DE) 14 - NAVE 18","28108","POLIGONO INDUSTRIAL","914905856 / 652449262","NO DISPONIBLE","ramirez.doramove@gmail.com","NO DISPONIBLE","CARLOS RAMIREZ LOPEZ","","FABRICACION, DISTRIBUCION Y ALQUILER DE SUMINISTROS A EMPRESAS","MATRICERIA. TRATAMIENTO DE HERRAMIENTAS Y MAQUINARIA MANUAL, ELECTRICA, HIDRAULICA Y ELECTRONICA,",40.53861336,-3.64986159
"MECANOTUBO","CL ANABEL SEGURA (DE) 11","28108","ARROYO DE LA VEGA","916610539","NO DISPONIBLE","madrid@mecanotubo.es","www.mecanotubo.es","LUIS MIGUEL ROMERO","","OBRAS PUBLICAS. SEÑALIZACION DE CARRETERAS Y FERROVIARIAS","OBRA CIVIL",40.53329719,-3.62708410
"MEDIACOM 95","CL SEPULVEDA (DE) 6 - NAVE 34","28108","POLIGONO INDUSTRIAL","916613602","916574591","mdelportillo@mediacom95.com","www.mediacom95.es","RAMON CUBEDO FEYTO","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","AUDIO-VIDEO PROFESIONAL",40.52672603,-3.65589045
"MEG","CL SEPULVEDA (DE) 6 NAVE 21","28108","POLIGONO INDUSTRIAL","916625957","914840193","paola@meg-sl.com","www.meg-sl.com","PAOLA MARTINEZ","","CENTRO DE NEGOCIOS. ESPACIOS EN ALQUILER","ALQUILER DE OFICINAS",40.52613020,-3.65641141
"MEGAMAN ELECTRICA.","CL VALGRANDE (DE) 14 - NAVE 10 - 11","28108","POLIGONO INDUSTRIAL","916611830","916615604","maria@gedilsa.com","NO DISPONIBLE","Mº ANGELES D.- SALAZAR","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","IMPORTACION Y DISTRIBUCION DE LAMPARAS DE AHORRO DE ENERGIA",40.53884703,-3.65025208
"MENIGAR","CL JOSE ECHEGARAY (DE) 4","28100","PARQUE EMP. CASABLANCA","916610397 / 916622781","NO DISPONIBLE","informacion@menigar.com","www.menigar.com","JOSE LUIS MENENDEZ","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","ELECTRONICA - AUTOMOCION - ELECTRICIDAD AUTOMOVIL",40.54190758,-3.65466022
"MENSAJERIA TIPSA","CL SEPULVEDA (DE) 6 NAVE 14","28108","POLIGONO INDUSTRIAL","911616005","NO DISPONIBLE","alcobendas@tip-sa.com","www.tip-sa.com","CARMEN DOMINGUEZ GUERRERO","","CODIGO PARA REGISTROS EN BLANCO","MENSAJERIA NACIONAL E INTERNACIONAL",40.52626035,-3.65624404
